date,LOC_cabinet,LOC_drawer,LOC_tray,LOC_locality,LOC_unit,LOC_subunit,LOC_age,TIME_idRehouse,TIME_count,TIME_paint,TIME_catalog,TIME_labels,TIME_number,LOTS_st,LOTS_tx,LOTS_uncataloged,ID_genusChange,ID_speciesChange,ID_sp,ID_rank-up,ID_rank-down,ID_new,REHOUSE_box3x1.5,REHOUSE_box3x3,REHOUSE_box3x4,REHOUSE_box3x6,REHOUSE_box4x6,REHOUSE_box6x6,REHOUSE_plastic3x3,REHOUSE_plastic6x6,REHOUSE_vial7dr,REHOUSE_vial3dr,REHOUSE_vial1dr
2018-02-02,202,01,3 of 4,10953,Ladd,,Turonian,0.5,,0.03,0.18,0.17,0.03,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0
2018-02-03,202,02,1 of 2,"10897, 10895, 10898",Ladd,,Turonian,1.0,,0.03,0.38,0.1,0.17,19,0,0,0,0,0,1,1,1,0,2,0,1,0,0,0,0,4,0,2
2018-02-03,202,02,2 of 2,10896,Ladd,,Turonian,0.25,,,0.04,0.03,,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2018-02-03,202,03,1 of 2,10883,Ladd,,Turonian,2.0,,0.02,0.55,0.75,0.33,32,3,0,0,0,0,0,0,9,3,1,1,0,0,0,0,0,8,0,2
2018-02-03,202,03,2 of 2,10891,Ladd,,Turonian,1.0,,0.03,0.34,0.17,0.25,19,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,6,0,8
2018-02-07,202,04,1 of 2,10890,Ladd,,Turonian,1.08,,0.17,0.58,0.33,0.17,35,5,0,0,0,0,1,1,8,5,3,0,2,0,1,0,0,3,0,3
2018-02-07,202,04,2 of 2,10882,Ladd,,Turonian,1.5,,0.17,0.6,0.75,0.33,33,9,0,0,0,0,1,1,2,7,2,2,0,0,0,0,0,20,0,7
2018-02-08,202,05,1 of 2,42358,Ladd,,Turonian,0.5,,,0.08,0.03,,1,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2018-02-08,202,05,2 of 2,"28715, 28716",Ladd,,Turonian,0.83,,0.17,0.39,0.2,0.03,29,0,0,0,0,0,0,0,3,0,2,3,0,0,0,0,0,9,0,0
2018-02-21,202,05,3 of 3,"6026, 5795, 8170",Ladd,,Turonian,0.6,,0.1,0.56,0.25,0.08,25,6,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,9,2,1
2018-02-08,202,06,1 of 2,16859,Ladd,,Turonian,1.0,,0.03,0.42,0.33,0.08,23,1,0,0,0,0,2,0,4,2,2,0,0,1,1,0,0,1,0,3
2018-02-08,202,06,2 of 2,"10956, 10947",Ladd,,Turonian,0.75,,0.06,0.55,0.25,0.25,29,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,13,0,0
2018-02-09,202,07,1 of 3,8185,Ladd,,Turonian,1.0,,0.06,0.65,0.33,0.08,29,3,0,0,0,0,3,1,1,2,1,1,0,0,0,0,1,11,0,7
2018-02-09,202,07,2 of 3,"16879, 16878",Ladd,,Turonian,0.75,,0.06,0.5,0.79,0.08,33,0,0,0,0,0,1,0,6,0,1,1,0,1,0,0,0,9,0,1
2018-02-10,202,07,3 of 3,22952,Ladd,,Turonian,0.5,,0.08,0.25,0.25,0.03,17,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,7,0,3
2018-02-13,202,08,1 of 1,9909,Ladd,,Turonian,0.33,,0.017,0.31,0.17,0.016,11,1,0,0,0,0,1,2,0,1,1,0,1,0,1,0,0,1,0,0
2018-02-13,202,09,1 of 3,30122,Ladd,,Turonian,0.55,,0.08,0.55,0.4,0.08,39,4,0,0,0,0,1,1,18,3,3,1,0,0,0,0,0,8,1,1
2018-02-13,202,09,2 of 3,30123,Ladd,,Turonian,1.75,,0.08,0.82,0.5,0.1,57,4,0,0,0,0,0,3,19,4,0,0,0,0,1,0,0,19,0,5
2018-02-13,202,09,3 of 3,16858,Ladd,,Turonian,1.15,,0.03,0.38,0.12,0.03,24,0,0,0,0,0,0,0,21,0,0,0,1,0,1,0,0,3,0,1
2018-02-17,202,10,3 of 3,"28709, 3565, 3567",Ladd,,Turonian,0.52,,0.017,0.25,0.17,0.017,15,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,1,0,0
2018-02-16,202,10,1 of 3,31501,Ladd,,Turonian,0.75,,,0.1,0.03,,7,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
2018-02-17,202,10,2 of 3,"23563, 23566",Ladd,,Turonian,0.33,,,0.08,0.08,,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
2018-02-02,202,11,1 of 4,23449,Ladd,,Turonian,0.6,0.08,0.08,0.4,0.17,0.33,35,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,20,0,7
2018-02-17,202,11,4 of 4,23449,Ladd,,Turonian,0.6,0.08,0.08,0.4,0.17,0.33,35,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,20,0,0
2018-02-17,202,11,2 of 4,23449,Ladd,,Turonian,0.38,,,0.1,0.04,0.017,6,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,1,0,0
2018-03-02,202,11,3 of 4,23449,Ladd,,Turonian,0.52,,0.017,0.38,0.17,0.017,31,1,0,0,0,0,0,0,32,0,0,0,0,1,0,0,0,2,0,0
2018-02-17,202,12,1 of 3,23449,Ladd,,"Turonian, Coniacian",1.0,,0.04,0.55,0.24,0.15,28,5,0,0,0,0,0,0,7,3,1,0,0,0,0,0,0,14,0,2
2018-03-02,202,12,2 of 3,23449,Ladd,,"Turonian, Coniacian",1.5,,0.3,0.32,0.31,0.19,32,0,0,0,0,0,0,0,32,0,0,0,0,0,1,0,0,3,2,3
2018-03-02,202,12,3 of 3,23449,Ladd,,"Turonian, Coniacian",0.75,,0.03,0.45,0.23,0.06,26,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,4,0,0
2018-02-21,203,01,1 of 1,"8167, 17543, 17544, 17545",Ladd,,"Turonian, Coniacian",0.33,,0.017,0.17,0.07,0.017,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0
2018-05-04,203,02,1 of 3,20130,Redding,,Turonian,0.05,,,0.03,0.017,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-04,203,02,2 of 3,42423,Redding,,Turonian,0.33,,0.03,0.24,0.08,0.03,25,0,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,1
