date,LOC_cabinet,LOC_drawer,LOC_tray,LOC_locality,LOC_unit,LOC_subunit,LOC_age,minutesTotal,minutesPerIDRehouse,minutesPerCount,minutesPerPaint,minutesPerCatalog,minutesPerLabels,minutesPerNumber,lotsProcessed,lotsRehoused,lotsIdentified,lotsReidentified
2018-12-08,228,10,2 of 4,23641,Chico,,"Santonian, Campanian",2,1.3,NA,0.5,0.9,0.2,0.2,39,37,9,11
2018-12-08,228,10,3 of 4,23639,Chico,,"Santonian, Campanian",1.95,1.1,NA,0.2,0.9,0.2,0.2,45,41,3,17
2018-12-08,228,10,4 of 4,23638,Chico,,"Santonian, Campanian",1.44,1.1,NA,0.2,0.9,0.2,0.1,35,34,5,12
2018-12-11,228,11,1 of 4,23643,Chico,,"Santonian, Campanian",1.79,1.4,NA,0.5,0.7,0.2,0.1,37,30,8,17
2018-12-11,228,11,2 of 4,23642,Chico,,"Santonian, Campanian",2.1,1.6,NA,0.5,1,0.2,1,29,24,2,6
2018-12-11,228,11,3 of 4,"23642, 23643",Chico,,"Santonian, Campanian",1.6300000000000001,1.3,NA,0.6,0.6,0.2,0.2,35,30,1,4
2018-12-11,228,11,4 of 4,23643,Chico,,"Santonian, Campanian",3.19,1.4,NA,0.4,1.6,0.2,1.6,37,34,4,9
2018-12-12,228,12,1 of 4,"23644, 23645",Chico,,"Santonian, Campanian",1.53,0.8,NA,0.2,0.6,0.2,0.1,47,44,1,13
2018-12-11,228,12,2 of 4,"23646, 23647",Chico,,"Santonian, Campanian",1.49,0.9,NA,0.5,1,0.2,0.2,32,21,1,7
2018-12-12,228,12,3 of 4,23648,Chico,,"Santonian, Campanian",1.3900000000000001,1.4,NA,0.5,0.7,0.2,0.1,28,21,1,7
2018-12-12,228,12,4 of 4,23648,Chico,,"Santonian, Campanian",1.32,1.8,NA,0.4,0.9,0.3,0.2,22,19,0,6
2017-11-15,233,07,1 of 1,6965,Chatsworth,Dayton Canyon,Campanian,0.75,3,NA,NA,1.5,NA,NA,10,2,14,0
2017-11-21,233,09,1 of 1,,Chatsworth,,Campanian,0.25,1.7,NA,NA,NA,NA,NA,9,9,9,0
2017-11-17,233,09,1 of 2,6965,Chatsworth,Dayton Canyon,Campanian,1.99,5,NA,0.1,2,0.9,NA,15,8,21,0
2017-11-11,233,11,1 of 1,10715,Chatsworth,Dayton Canyon,Campanian,1.73,8.2,0.4,NA,0.9,NA,NA,11,20,0,22
2017-10-31,233,11,1 of 2,10715,Chatsworth,Dayton Canyon,Campanian,0.46,1.7,0.7,0.1,0.7,NA,NA,9,9,0,9
